"Index","Open","High","Low","Adjusted","Volume"
2008-09-24,119.79,120.01,119.79,120.01,200
2008-09-25,0,0,0,0,0
2008-09-26,0,0,0,0,0
2008-09-29,0,0,0,0,0
2008-09-30,0,0,0,0,0
2008-10-01,0,0,0,0,0
2008-10-02,0,0,0,0,0
2008-10-03,0,0,0,0,0
2008-10-06,0,0,0,0,0
2008-10-07,108.07,108.36,108.07,108.36,200
2008-10-08,0,0,0,0,0
2008-10-09,0,0,0,0,0
2008-10-10,88.51,88.51,88.51,88.51,20
2008-10-13,0,0,0,0,0
2008-10-14,0,0,0,0,0
2008-10-15,0,0,0,0,0
2008-10-16,88.51,88.51,88.51,88.51,0
2008-10-17,0,0,0,0,0
2008-10-20,0,0,0,0,0
2008-10-21,0,0,0,0,0
2008-10-22,0,0,0,0,0
2008-10-23,0,0,0,0,0
2008-10-24,84.09,84.09,84.09,84.09,20
2008-10-27,0,0,0,0,0
2008-10-28,0,0,0,0,0
2008-10-29,0,0,0,0,0
2008-10-30,0,0,0,0,0
2008-10-31,0,0,0,0,0
2008-11-03,0,0,0,0,0
2008-11-04,0,0,0,0,0
2008-11-05,0,0,0,0,0
2008-11-06,0,0,0,0,0
2008-11-07,0,0,0,0,0
2008-11-10,0,0,0,0,0
2008-11-11,84.09,84.09,84.09,84.09,0
2008-11-12,0,0,0,0,0
2008-11-13,0,0,0,0,0
2008-11-14,0,0,0,0,0
2008-11-17,0,0,0,0,0
2008-11-18,0,0,0,0,0
2008-11-19,0,0,0,0,0
2008-11-20,0,0,0,0,0
2008-11-21,0,0,0,0,0
2008-11-24,0,0,0,0,0
2008-11-25,84.09,84.09,84.09,84.09,0
2008-11-26,0,0,0,0,0
2008-11-27,0,0,0,0,0
2008-11-28,0,0,0,0,0
2008-12-01,0,0,0,0,0
2008-12-02,0,0,0,0,0
2008-12-03,0,0,0,0,0
2008-12-04,0,0,0,0,0
2008-12-05,0,0,0,0,0
2008-12-08,0,0,0,0,0
2008-12-09,0,0,0,0,0
2008-12-10,0,0,0,0,0
2008-12-11,0,0,0,0,0
2008-12-12,0,0,0,0,0
2008-12-15,0,0,0,0,0
2008-12-16,84.09,84.09,84.09,84.09,0
2008-12-17,0,0,0,0,0
2008-12-18,0,0,0,0,0
2008-12-19,0,0,0,0,0
2008-12-22,0,0,0,0,0
2008-12-23,0,0,0,0,0
2008-12-24,84.09,84.09,84.09,84.09,0
2008-12-29,84.09,84.09,84.09,84.09,0
2008-12-30,0,0,0,0,0
2008-12-31,84.09,84.09,84.09,84.09,0
2009-01-02,84.09,84.09,84.09,84.09,0
2009-01-05,84.09,84.09,84.09,84.09,0
2009-01-06,0,0,0,0,0
2009-01-07,0,0,0,0,0
2009-01-08,0,0,0,0,0
2009-01-09,0,0,0,0,0
2009-01-12,0,0,0,0,0
2009-01-13,0,0,0,0,0
2009-01-14,0,0,0,0,0
2009-01-15,0,0,0,0,0
2009-01-16,0,0,0,0,0
